نام شرکت تولید کننده,نام شرکت تامین کننده,نام صاحب برند,توزیع کننده,کشور تولید  کننده,نام برند,نام لاتین برند,نام ژنریک,نام ماده موثره, تعداد فروش (بسته) , تعداد در بسته , فروش عددی , فروش ریالی مصرف کننده ,کد ژنریک,OTC,بیولوژیک,ATC Code,,
Merck Serono S.p.a.,اکتوورکو,Merck Serono S.p.a.,الیت دارو,ایتالیا,گونال-اف   پودر برای تهیه محلول تزریقی پرنترال 75 [iU]  [iU],"GONAL-F   INJECTION, POWDER, FOR SOLUTION PARENTERAL 75 [iU]  [iU]","FOLLITROPIN ALFA INJECTION, POWDER, FOR SOLUTION PARENTERAL 75 [iU]",FOLLITROPIN ALFA," 55,362 ", 1 ," 55,362 "," 184,653,240,400 ",2570,0,1,G03GA05,,
Actoverco,اکتوورکو,اکتوورکو,الیت دارو,ایران,سوستاک   قرص پیوسته رهش خوراکی 6.4 mg,"SUSTAC   TABLET, EXTENDED RELEASE ORAL 6.4 mg","NITROGLYCERIN TABLET, EXTENDED RELEASE ORAL 6.4 mg",NITROGLYCERIN," 374,325 ", 100 ," 37,432,500 "," 179,121,508,000 ",915,0,0,C01DA02,,
Actoverco,اکتوورکو,"Krka, D. D., Novo Mesto",الیت دارو,ایران,فرومیلید   قرص خوراکی 500 mg,FROMILID   TABLET ORAL 500 mg,CLARITHROMYCIN TABLET ORAL 500 mg,CLARITHROMYCIN," 294,106 ", 14 ," 4,117,484 "," 177,013,242,000 ",2034,0,0,J01FA09,,
Actero middleeast,اکترو خاورمیانه,اکترو خاورمیانه,الیت دارو,ایران,کپسیتابین اکتِ   قرص خوراکی 500 mg,CAPECITABINE ACTE   TABLET ORAL 500 mg,CAPECITABINE TABLET ORAL 500 mg,CAPECITABINE," 27,418 ", 100 ," 2,741,800 "," 173,149,100,000 ",2493,0,0,L01BC06,,
Actoverco,اکتوورکو,اکتوورکو,الیت دارو,ایران,مب اکتو   کپسول پیوسته رهش خوراکی 200 mg,"MEBACTO   CAPSULE, EXTENDED RELEASE ORAL 200 mg","MEBEVERINE HYDROCHLORIDE CAPSULE, EXTENDED RELEASE ORAL 200 mg",MEBEVERINE HYDROCHLORIDE," 685,989 ", 30 ," 20,579,670 "," 149,212,807,500 ",9532,0,0,A03AA04,,
Actoverco,اکتوورکو,اکتوورکو,الیت دارو,ایران,اکتووکس   پودر برای تهیه محلول تزریقی پرنترال 6000000 [iU]  ug,"ACTOVEX   INJECTION, POWDER, FOR SOLUTION PARENTERAL 6000000 [iU]  ug","INTERFERON BETA-1A INJECTION, POWDER, FOR SOLUTION PARENTERAL 6000000 [iU]",INTERFERON BETA-1A," 29,392 ", 4 ," 117,568 "," 148,605,952,000 ",2667,0,1,L03AB07,,
Actoverco,اکتوورکو,"Krka, D. D., Novo Mesto",الیت دارو,ایران,آلوینتا   کپسول پیوسته رهش خوراکی 37.5 mg,"ALVENTA   CAPSULE, EXTENDED RELEASE ORAL 37.5 mg","VENLAFAXINE CAPSULE, EXTENDED RELEASE ORAL 37.5 mg",VENLAFAXINE," 432,182 ", 28 ," 12,101,096 "," 146,423,261,600 ",16035,0,0,N06AX16,,
Actero middleeast,اکترو خاورمیانه,اکترو خاورمیانه,الیت دارو,ایران,نئونیب   کپسول خوراکی 200 mg,NEONIB   CAPSULE ORAL 200 mg,NILOTINIB CAPSULE ORAL 200 mg,NILOTINIB," 8,827 ", 28 ," 247,156 "," 138,407,360,000 ",12273,0,0,L01XE08,,
Actoverco,اکتوورکو,اکتوورکو,الیت دارو,ایران,اکتوور والوسپ   قرص خوراکی 5 mg/80 mg,ACTOVER VALOSAP   TABLET ORAL 5 mg/80 mg,AMLODIPINE (AS BESILATE) / VALSARTAN TABLET ORAL 5 mg/80 mg,AMLODIPINE (AS BESILATE) / VALSARTAN," 439,248 ", 30 ," 13,177,440 "," 138,363,120,000 ",19773,0,0,C09DB01,,
Actoverco,اکتوورکو,اکتوورکو,الیت دارو,ایران,کوئنتیاکس   قرص خوراکی 100 mg,QUENTIAX   TABLET ORAL 100 mg,QUETIAPINE FUMARATE TABLET ORAL 100 mg,QUETIAPINE FUMARATE," 83,357 ", 30 ," 2,500,710 "," 136,288,695,000 ",5927,0,0,N05AH04,,
