,Unnamed: 0,pharma_company,brand_name_en,generic_name_en,substance_name_en,atc_code_raw,anatomical_desc,therapeutic_desc,pharmacological_desc,subpharmacological_desc,chemical_desc,preprocessed_index
75,75,merck serono s.p.a.,gonal-f   injection parenteral 600 [iu]/1ml 1.5 [iu],follitropin alfa injection parenteral 600 [iu]/1ml 1.5 ml,follitropin alfa,g03ga05,genito urinary system and sex hormones,sex hormones and modulators of the genital system,gonadotropins and other ovulation stimulants,gonadotropins,follitropin alfa,75
76,76,merck serono,"pergoveris   injection, powder, for solution parenteral 150 [iu]/75 [iu]  ug","follitropin alfa / lutropin alfa injection, powder, for solution parenteral 150 [iu]/75 [iu]",follitropin alfa / lutropin alfa,,nervous system,,,,,76
77,77,ati pharmed pharmaceutical company,tansy   tablet oral 1.5 mg,levonorgestrel tablet oral 1.5 mg,levonorgestrel,g03ac03,genito urinary system and sex hormones,sex hormones and modulators of the genital system,hormonal contraceptives for systemic use,progestogens,levonorgestrel,77
78,78,actoverco,clotover   tablet oral 20 mg,rivaroxaban tablet oral 20 mg,rivaroxaban,b01af01,blood and blood forming organs,antithrombotic agents,antithrombotic agents,direct factor xa inhibitors,rivaroxaban,78
79,79,merck healthcare kgaa,concor cor   tablet oral 2.5 mg,bisoprolol fumarate tablet oral 2.5 mg,bisoprolol fumarate,c07ab07,cardiovascular system,beta blocking agents,beta blocking agents,"beta blocking agents, selective",bisoprolol,79
80,80,actoverco,vizarsin   tablet oral 50 mg,sildenafil (as citrate) tablet oral 50 mg,sildenafil (as citrate),g04be03,genito urinary system and sex hormones,urologicals,urologicals,drugs used in erectile dysfunction,sildenafil,80
81,81,actoverco,xenover   capsule oral 120 mg,orlistat capsule oral 120 mg,orlistat,a08ab01,alimentary tract and metabolism,"antiobesity preparations, excl. diet products","antiobesity preparations, excl. diet products",peripherally acting antiobesity products,orlistat,81
82,82,actoverco,actoserc   tablet oral 8 mg,betahistine dihydrochloride  tablet oral 8 mg,betahistine dihydrochloride,n07ca01,nervous system,other nervous system drugs,antivertigo preparations,antivertigo preparations,betahistine,82
83,83,actoverco,quentiax   tablet oral 25 mg,quetiapine fumarate tablet oral 25 mg,quetiapine fumarate,n05ah04,nervous system,psycholeptics,antipsychotics,"diazepines, oxazepines, thiazepines and oxepines",quetiapine,83
84,84,actoverco,"metazero   tablet, extended release oral 95 mg","metoprolol succinate tablet, extended release oral 95 mg",metoprolol succinate,c07ab02,cardiovascular system,beta blocking agents,beta blocking agents,"beta blocking agents, selective",metoprolol,84
85,85,actoverco,"metazero   tablet, extended release oral 95 mg","metoprolol succinate tablet, extended release oral 95 mg",metoprolol succinate,c07ab02,cardiovascular system,beta blocking agents,beta blocking agents,"beta blocking agents, selective",metoprolol,85
86,86,clausen,suprimun   tablet oral 500 mg,mycophenolate mofetil tablet oral 500 mg,mycophenolate mofetil,l04aa06,antineoplastic and immunomodulating agents,immunosuppressants,immunosuppressants,selective immunosuppressants,mycophenolic acid,86
87,87,clausen,suprimun   tablet oral 500 mg,mycophenolate mofetil tablet oral 500 mg,mycophenolate mofetil,l04aa06,antineoplastic and immunomodulating agents,immunosuppressants,immunosuppressants,selective immunosuppressants,mycophenolic acid,87
88,88,actoverco,concor   tablet oral 10 mg,bisoprolol fumarate tablet oral 10 mg,bisoprolol fumarate,c07ab07,cardiovascular system,beta blocking agents,beta blocking agents,"beta blocking agents, selective",bisoprolol,88
89,89,ati pharmed pharmaceutical company,verogest   tablet oral 2 mg,dienogest tablet oral 2 mg,dienogest,g03db08,genito urinary system and sex hormones,sex hormones and modulators of the genital system,progestogens,pregnadien derivatives,dienogest,89
90,90,actoverco,clotover   tablet oral 2.5 mg,rivaroxaban tablet oral 2.5 mg,rivaroxaban,b01af01,blood and blood forming organs,antithrombotic agents,antithrombotic agents,direct factor xa inhibitors,rivaroxaban,90
91,91,actoverco,glucophage   tablet oral 1000 mg,metformin hydrochloride tablet oral 1000 mg,metformin hydrochloride,a10ba02,alimentary tract and metabolism,drugs used in diabetes,"blood glucose lowering drugs, excl. insulins",biguanides,metformin,91
92,92,actoverco,xigut   tablet oral 550 mg,rifaximin tablet oral 550 mg,rifaximin,a07aa11,alimentary tract and metabolism,"antidiarrheals, intestinal antiinflammatory/antiinfective agents",intestinal antiinfectives,antibiotics,rifaximin,92
93,93,actoverco,ticora   tablet oral 90 mg,ticagrelor tablet oral 90 mg,ticagrelor,b01ac24,blood and blood forming organs,antithrombotic agents,antithrombotic agents,platelet aggregation inhibitors excl. heparin,ticagrelor,93
94,94,actoverco,quentiax   tablet oral 200 mg,quetiapine fumarate tablet oral 200 mg,quetiapine fumarate,n05ah04,nervous system,psycholeptics,antipsychotics,"diazepines, oxazepines, thiazepines and oxepines",quetiapine,94
95,95,actoverco,empaver   tablet oral 10 mg,empagliflozin tablet oral 10 mg,empagliflozin,a10bx12,alimentary tract and metabolism,drugs used in diabetes,"blood glucose lowering drugs, excl. insulins","other blood glucose lowering drugs, excl. insulins",,95
96,96,ati pharmed pharmaceutical company,tansy   tablet oral 750 ug,levonorgestrel tablet oral 750 ug,levonorgestrel,g03ac03,genito urinary system and sex hormones,sex hormones and modulators of the genital system,hormonal contraceptives for systemic use,progestogens,levonorgestrel,96
97,97,ati pharmed pharmaceutical company,drosbelin   tablet oral 3 mg/0.03 mg,drospirenone / ethinyl estradiol tablet oral 3 mg/0.03 mg,drospirenone / ethinyl estradiol,g03fa13,genito urinary system and sex hormones,sex hormones and modulators of the genital system,progestogens and estrogens in combination,"progestogens and estrogens, fixed combinations",norgestimate and estrogen,97
98,98,actoverco,clotover   tablet oral 15 mg,rivaroxaban tablet oral 15 mg,rivaroxaban,b01af01,blood and blood forming organs,antithrombotic agents,antithrombotic agents,direct factor xa inhibitors,rivaroxaban,98
99,99,actoverco,actopentin   capsule oral 100 mg,gabapentin capsule oral 100 mg,gabapentin,n03ax12,nervous system,antiepileptics,antiepileptics,other antiepileptics,gabapentin,99
100,100,actoverco,lyriver   capsule oral 75 mg,pregabalin capsule oral 75 mg,pregabalin,n03ax16,nervous system,antiepileptics,antiepileptics,other antiepileptics,pregabalin,100
101,101,ati pharmed pharmaceutical company,cybelle   tablet oral 2 mg/0.035 mg,cyproterone compound tablet oral 2 mg/0.035 mg,cyproterone compound,g03hb01,genito urinary system and sex hormones,sex hormones and modulators of the genital system,antiandrogens,antiandrogens and estrogens,cyproterone and estrogen,101
102,102,actero middleeast,suprimun   tablet oral 500 mg,mycophenolate mofetil tablet oral 500 mg,mycophenolate mofetil,l04aa06,antineoplastic and immunomodulating agents,immunosuppressants,immunosuppressants,selective immunosuppressants,mycophenolic acid,102
103,103,actero middleeast,suprimun   tablet oral 500 mg,mycophenolate mofetil tablet oral 500 mg,mycophenolate mofetil,l04aa06,antineoplastic and immunomodulating agents,immunosuppressants,immunosuppressants,selective immunosuppressants,mycophenolic acid,103
104,104,actoverco,motilover   tablet oral 10 mg,domperidone tablet oral 10 mg,domperidone,a03fa03,alimentary tract and metabolism,drugs for functional gastrointestinal disorders,propulsives,propulsives,domperidone,104
105,105,actoverco,motilover   tablet oral 10 mg,domperidone tablet oral 10 mg,domperidone,a03fa03,alimentary tract and metabolism,drugs for functional gastrointestinal disorders,propulsives,propulsives,domperidone,105
106,106,actoverco,motilover   tablet oral 10 mg,domperidone tablet oral 10 mg,domperidone,a03fa03,alimentary tract and metabolism,drugs for functional gastrointestinal disorders,propulsives,propulsives,domperidone,106
107,107,actero middleeast,"carboxa   injection, solution, concentrate intravenous 10 mg/1ml 15 ml","carboplatin injection, solution, concentrate intravenous 10 mg/1ml 15 ml",carboplatin,l01xa02,antineoplastic and immunomodulating agents,antineoplastic agents,other antineoplastic agents,platinum compounds,carboplatin,107
108,108,actoverco,"lansacto   capsule, delayed release oral 30 mg","lansoprazole capsule, delayed release oral 30 mg",lansoprazole,a02bc03,alimentary tract and metabolism,drugs for acid related disorders,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),proton pump inhibitors,lansoprazole,108
109,109,actoverco,asentra   tablet oral 100 mg,sertraline (as hydrochloride) tablet oral 100 mg,sertraline (as hydrochloride),n06ab06,nervous system,psychoanaleptics,antidepressants,selective serotonin reuptake inhibitors,sertraline,109
110,110,actoverco,valsacor   tablet oral 160 mg,valsartan tablet oral 160 mg,valsartan,c09ca03,cardiovascular system,agents acting on the renin-angiotensin system,"angiotensin ii receptor blockers (arbs), plain","angiotensin ii receptor blockers (arbs), plain",valsartan,110
111,111,actoverco,actopentin   capsule oral 300 mg,gabapentin capsule oral 300 mg,gabapentin,n03ax12,nervous system,antiepileptics,antiepileptics,other antiepileptics,gabapentin,111
112,112,actero middleeast,"oncozar   injection, powder, lyophilized, for solution parenteral 1 g  g","gemcitabine (as hydrochloride) injection, powder, lyophilized, for solution parenteral 1 g",gemcitabine (as hydrochloride),l01bc05,antineoplastic and immunomodulating agents,antineoplastic agents,antimetabolites,pyrimidine analogues,gemcitabine,112
113,113,merck sante,adancor   tablet oral 20 mg,nicorandil tablet oral 20 mg,nicorandil,c01dx16,cardiovascular system,cardiac therapy,vasodilators used in cardiac diseases,other vasodilators used in cardiac diseases,nicorandil,113
