,Unnamed: 0,supplier,brand_owner,distributor,manufacturer_country,brand_name_fa,preprocessed_index
115,115,اکتوورکو,merck kgaa,الیت دارو,فرانسه,آدانکور   قرص خوراکی 10 mg,115
116,116,اکتوورکو,merck sharp & dohme,الیت دارو,آلمان,ستروتاید   پودر برای تهیه محلول تزریقی پرنترال 250 ug  ug,116
117,117,اکتوورکو,اکتوورکو,الیت دارو,ایران,اکتولوکاست   قرص جویدنی خوراکی 5 mg,117
118,118,دارو سازی آتی فارمد,دارو سازی آتی فارمد,الیت دارو,ایران,دروسبلا   قرص خوراکی 3 mg/0.02 mg,118
119,119,اکتوورکو,merck serono s.p.a.,الیت دارو,ایتالیا,گونال-اف   تزریقی پرنترال 600 [iu]/1ml 0.75 [iu],119
120,120,الحاوی,الحاوی,الیت دارو,ایران,پاراکید   سوسپانسیون، قطره خوراکی 100 mg/1ml 15 ml,120
121,121,الحاوی,الحاوی,الیت دارو,ایران,پاراکید   سوسپانسیون، قطره خوراکی 100 mg/1ml 15 ml,121
122,122,الحاوی,الحاوی,الیت دارو,ایران,پاراکید   سوسپانسیون، قطره خوراکی 100 mg/1ml 15 ml,122
123,123,دارو سازی آتی فارمد,دارو سازی آتی فارمد,الیت دارو,ایران,لویتود   قرص خوراکی 30 ug/0.15 mg,123
124,124,اکتوورکو,اکتوورکو,الیت دارو,ایران,اکتوور والوسپ   قرص خوراکی 5 mg/160 mg,124
125,125,اکتوورکو,اکتوورکو,الیت دارو,ایران,زولیور   قرص خوراکی 5 mg,125
126,126,اکتوورکو,اکتوورکو,الیت دارو,ایران,زوویکس   قرص خوراکی 600 mg,126
127,127,اکتوورکو,اکتوورکو,الیت دارو,ایران,زوویکس   قرص خوراکی 600 mg,127
128,128,اکتوورکو,اکتوورکو,الیت دارو,ایران,نوپایرو   محلول غلیظ تزریقی داخل وریدی 150 mg/1ml 6.7 mg,128
129,129,اکتوورکو,اکتوورکو,الیت دارو,ایران,نوپایرو   محلول غلیظ تزریقی داخل وریدی 150 mg/1ml 6.7 mg,129
130,130,اکتوورکو,اکتوورکو,الیت دارو,ایران,نوپایرو   محلول غلیظ تزریقی داخل وریدی 150 mg/1ml 6.7 mg,130
131,131,اکتوورکو,اکتوورکو,الیت دارو,ایران,امیت   کپسول خوراکی 125 mg,131
132,132,اکتوورکو,اکتوورکو,الیت دارو,ایران,امیت   کپسول خوراکی 125 mg,132
133,133,اکتوورکو,اکتوورکو,الیت دارو,ایران,لایریور   کپسول خوراکی 50 mg,133
134,134,اکتوورکو,merck europe bv,الیت دارو,ایتالیا,اوویترل   تزریقی پرنترال 500 ug/1ml 0.5 ug,134
135,135,اکترو خاورمیانه,اکترو خاورمیانه,الیت دارو,ایران,رینتکا   تزریقی پرنترال 20 mg/1ml 5 ml,135
136,136,اکتوورکو,اکتوورکو,الیت دارو,ایران,اپرینسا   قرص خوراکی 25 mg,136
137,137,الحاوی,الحاوی,الیت دارو,ایران,دیفن هیدرامین-الحاوی   محلول خوراکی 12.5 mg/5ml 60 ml,137
