pharma_company,supplier,brand_owner,distributor,manufacturer_country,brand_name_fa,brand_name_en,generic_name_en,substance_name_en,atc_code
Amin Pharmaceutical Co.,داروسازی امین,داروسازی امین,امید پخش آروند پارسیان,ایران,متولو-اس   قرص پیوسته رهش خوراکی 47.5 mg,"METOLOW-S   TABLET, EXTENDED RELEASE ORAL 47.5 mg","METOPROLOL SUCCINATE TABLET, EXTENDED RELEASE ORAL 47.5 mg",METOPROLOL SUCCINATE,C07AB02
Amin Pharmaceutical Co.,داروسازی امین,داروسازی امین,امید پخش آروند پارسیان,ایران,آمیلوپرا   قرص خوراکی 2 mg,AMILOPRA   TABLET ORAL 2 mg,LOPERAMIDE HYDROCHLORIDE TABLET ORAL 2 mg,LOPERAMIDE HYDROCHLORIDE,A07DA03
Hakim Pharmaceutical Co.,دارو سازی حکیم,دارو سازی حکیم,امید پخش آروند پارسیان,ایران,کاردیول   قرص خوراکی 6.25 mg,CARDIOL   TABLET ORAL 6.25 mg,CARVEDILOL TABLET ORAL 6.25 mg,CARVEDILOL,C07AG02
Amin Pharmaceutical Co.,داروسازی امین,داروسازی امین,امید پخش آروند پارسیان,ایران,آبنیل   قرص خوراکی 75 mg,ABNIL   TABLET ORAL 75 mg,CLOMIPRAMINE HYDROCHLORIDE TABLET ORAL 75 mg,CLOMIPRAMINE HYDROCHLORIDE,N06AA04
Amin Pharmaceutical Co.,داروسازی امین,داروسازی امین,امید پخش آروند پارسیان,ایران,مونته لوکاست   قرص خوراکی 10 mg,MONTELUKAST   TABLET ORAL 10 mg,MONTELUKAST TABLET ORAL 10 mg,MONTELUKAST,R03DC03
Sajad Daru Shargh,سجاد داروی شرق,سجاد داروی شرق,امید پخش آروند پارسیان,ایران,والپروسد   قرص انتریک کوتد خوراکی 200 mg,"VALPROSAD   TABLET, DELAYED RELEASE ORAL 200 mg","VALPROATE SODIUM TABLET, DELAYED RELEASE ORAL 200 mg",VALPROATE SODIUM,N03AG01
Shahid Ghazi Pharmaceutical Co.,داروسازی شهید قاضی,داروسازی شهید قاضی,امید پخش آروند پارسیان,ایران,سدیم کلراید   محلول تزریقی پرنترال 0.45 % 1000 mL,"SODIUM CHLORIDE   INJECTION, SOLUTION PARENTERAL 0.45 % 1000 mL","SODIUM CHLORIDE INJECTION, SOLUTION PARENTERAL 0.45 % 1000 mL",SODIUM CHLORIDE,B05XA03
Emad Darman Pars,عماد درمان پارس,عماد درمان پارس,امید پخش آروند پارسیان,ایران,کلوبتازول-عماد   کرم موضعی 0.05 % 15 g,CLOBETASOL-EMAD   CREAM TOPICAL 0.05 % 15 g,CLOBETASOL PROPIONATE CREAM TOPICAL 0.05 % 15 g,CLOBETASOL PROPIONATE,D07AD01
Hakim Pharmaceutical Co.,دارو سازی حکیم,دارو سازی حکیم,امید پخش آروند پارسیان,ایران,"استامینوفن-حکیم   محلول، قطره خوراکی 100 mg/1mL 15 mL","ACETAMINOPHEN-HAKIM   SOLUTION, DROPS ORAL 100 mg/1mL 15 mL","ACETAMINOPHEN SOLUTION, DROPS ORAL 100 mg/1mL 15 mL",ACETAMINOPHEN,N02BE01
Caspian Tamin Co.,داروسازی کاسپین تأمین,داروسازی کاسپین تأمین,امید پخش آروند پارسیان,ایران,روکامیکس   تزریقی پرنترال 20 mg/1mL  mL,ROCAMIX   INJECTION PARENTERAL 20 mg/1mL  mL,PIROXICAM INJECTION PARENTERAL 20 mg/1mL,PIROXICAM,M01AC01
